;title;url;rating;review_count;price
23;Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT);https://www.amazon.com/Sceptre-Business-Computer-Speakers-e275W-FPT/dp/B089BTLL9K/ref=sr_1_39?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-39;4.8 out of 5 stars;6;139.97
24;ViewSonic VX2452MH 24 Inch 2ms 60Hz 1080p Gaming Monitor with HDMI DVI and VGA inputs;https://www.amazon.com/ViewSonic-VX2452MH-Gaming-Monitor-inputs/dp/B00EZSUVHK/ref=sr_1_40?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-40;4.5 out of 5 stars;2227;129.0
25;MOUNTUP Dual Monitor Stand - Adjustable Gas Spring Dual Monitor Mount, Monitor Desk Mount with C Clamp, Grommet Mounting Base, Monitor Arm for Computer Screen up to 27 Inch, MU0005;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg3_1?ie=UTF8&adId=A0194107Q3TFGW1OJPF6&url=%2FMOUNTUP-Dual-Monitor-Stand-Adjustable%2Fdp%2FB07Z7ZM8CJ%2Fref%3Dsr_1_42_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-42-spons%26psc%3D1&qualifier=1594160450&id=2600300680546007&widgetName=sp_btf;4.3 out of 5 stars;290;59.99
26;"Acer KG241Q Pbiip 23.6"" Full HD (1920 x 1080) TN 144Hz 1ms Monitor with AMD FREESYNC Technology (Display Port & 2 x HDMI)";https://www.amazon.com/Acer-KG241Q-Pbiip-FREESYNC-Technology/dp/B07MG85X1M/ref=sr_1_42?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-42;4.3 out of 5 stars;1324;144.99
27;"Acer XFA240 bmjdpr 24"" Gaming G-SYNC Compatible Monitor 1920 x 1080, 144hz Refresh Rate, 1ms Response Time with Height, Pivot, Swivel & Tilt, Black";https://www.amazon.com/Acer-XFA240-bmjdpr-Response-Technology/dp/B06ZYHZ6R6/ref=sr_1_43?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-43;4.2 out of 5 stars;1426;174.99
28;Portable Monitor - Lepow 15.6 Inch Computer Display 1920×1080 Full HD IPS Screen USB C Gaming Monitor with Type-C Mini HDMI for Laptop PC MAC Phone Xbox PS4, Include Smart Cover & Screen Protector;https://www.amazon.com/Portable-Monitor-Computer-1920%C3%971080-Protector/dp/B07RGPCQG1/ref=sr_1_44?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-44;4.5 out of 5 stars;2221;188.98
29;LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White;https://www.amazon.com/LG-27UL500-W-27-Inch-Freesync-Technology/dp/B07PGL2WVS/ref=sr_1_47?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-47;4.4 out of 5 stars;1194;349.99
30;"ASUS VS207T-P 19.5"" HD+ 1600x900 DVI VGA Back-lit LED Monitor,Black";https://www.amazon.com/ASUS-VS207T-P-1600x900-Back-lit-Monitor/dp/B00B5Q6Y7G/ref=sr_1_50?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-50;4.4 out of 5 stars;5518;84.19
31;"LG 27UK850-W 27"" 4K UHD IPS Monitor with HDR10 with USB Type-C Connectivity and FreeSync, White";https://www.amazon.com/LG-27UK850-W-Monitor-Connectivity-FreeSync/dp/B078GVTD9N/ref=sr_1_51?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-51;4.3 out of 5 stars;668;449.99
32;Samsung Business SR650 Series 24 inch IPS 1080p 75Hz Computer Monitor for Business with VGA, HDMI, DisplayPort, and USB Hub, 3-Year Warranty (S24R650FDN), Black;https://www.amazon.com/Samsung-Business-Computer-DisplayPort-S24R650FDN/dp/B082X46ZGD/ref=sr_1_52?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-52;4.3 out of 5 stars;30;169.99
